Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,X3PointShots,X3PointShotsAttempted,X3PointShotsPCT,FreeThrows,FreeThrowsAttempted,FreeThrowsPCT,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoals,OppFieldGoalsAttempted,OppFieldGoalsPCT,Opp3PointShots,Opp3PointShotsAttempted,Opp3PointShotsPCT,OppFreeThrows,OppFreeThrowsAttempted,OppFreeThrowsPCT,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
GSW,18,11/28/2015,Home,SAC,W,120,101,39,80,0.488,16,30,0.533,26,31,0.839,13,48,32,8,7,14,19,39,100,0.39,10,25,0.4,13,15,0.867,19,48,22,9,7,14,24
GSW,19,11/30/2015,Away,UTA,W,106,103,40,82,0.488,14,29,0.483,12,15,0.8,14,45,21,2,5,15,19,40,89,0.449,6,19,0.316,17,22,0.773,10,35,18,9,2,8,16
GSW,20,12/2/2015,Away,CHO,W,116,99,46,88,0.523,16,34,0.471,8,11,0.727,11,53,31,2,9,18,23,35,94,0.372,9,31,0.29,20,30,0.667,13,41,19,10,7,8,13
GSW,21,12/5/2015,Away,TOR,W,112,109,35,73,0.479,16,30,0.533,26,36,0.722,8,43,22,2,5,12,24,40,91,0.44,8,20,0.4,21,26,0.808,11,38,21,9,3,6,27
GSW,22,12/6/2015,Away,BRK,W,114,98,44,86,0.512,14,33,0.424,12,23,0.522,10,46,25,9,9,12,18,39,89,0.438,5,17,0.294,15,23,0.652,11,46,21,8,2,13,18
GSW,23,12/8/2015,Away,IND,W,131,123,52,95,0.547,16,35,0.457,11,15,0.733,10,46,29,10,6,15,19,44,100,0.44,14,33,0.424,21,26,0.808,16,44,23,8,3,16,18
GSW,24,12/11/2015,Away,BOS,W,124,119,42,107,0.393,9,31,0.29,31,39,0.795,17,67,28,10,11,18,22,49,114,0.43,12,33,0.364,9,16,0.563,11,51,32,7,9,15,30
GSW,25,12/12/2015,Away,MIL,L,95,108,36,89,0.404,6,27,0.222,17,25,0.68,15,49,23,9,8,16,20,44,90,0.489,6,14,0.429,14,18,0.778,8,44,31,12,4,16,24
GSW,26,12/16/2015,Home,PHO,W,128,103,46,88,0.523,15,32,0.469,21,27,0.778,9,49,32,12,4,17,17,41,91,0.451,5,22,0.227,16,18,0.889,7,41,28,11,4,20,20
GSW,27,12/18/2015,Home,MIL,W,121,112,42,87,0.483,9,26,0.346,28,37,0.757,15,46,31,7,4,15,22,42,91,0.462,4,18,0.222,24,28,0.857,14,41,25,6,7,16,29
GSW,28,12/23/2015,Home,UTA,W,103,85,39,83,0.47,9,23,0.391,16,16,1,9,40,26,10,9,15,11,33,80,0.413,7,20,0.35,12,14,0.857,12,40,14,9,3,19,18
GSW,29,12/25/2015,Home,CLE,W,89,83,32,78,0.41,5,18,0.278,20,27,0.741,8,49,21,7,10,16,19,30,95,0.316,5,30,0.167,18,25,0.72,17,55,12,6,4,11,22
GSW,30,12/28/2015,Home,SAC,W,122,103,43,89,0.483,20,42,0.476,16,24,0.667,13,59,33,12,8,18,25,37,95,0.389,13,31,0.419,16,28,0.571,13,48,23,10,4,14,21
